id,sensortypeid,cityid,locationname,locationtype,altitude,installedat
1030,1012,1003,"Odeon of Herodes Atticus","Other",1,"2019-12-27"
1031,1010,1003,"Mount Lycabettus","Urban",107,"2021-02-04"
1032,1002,1003,"Theatre of Dionysus","Urban",15,"2019-09-24"
1033,1009,1003,"Syntagma Square","Urban",22,"2018-11-10"
1034,1010,1003,"Acropolis Museum","Industrial",11,"2020-05-24"
1035,1003,1003,"Plaka","Industrial",12,"2019-09-29"
1036,1009,1003,"Arch of Hadrian","Industrial",19,"2017-01-12"
1037,1008,1003,"Erechtheion","Other",16,"2020-10-09"
1038,1005,1003,"Temple of Hephaestus","Urban",9,"2019-07-06"
1039,1011,1003,"Monastiraki Square","Suburban",3,"2019-08-03"
1040,1003,1003,"City Garden","Suburban",4,"2021-10-10"
1041,1007,1003,"Old Castle","Urban",31,"2021-05-21"
1042,1002,1004,"Basilica de la Sagrada Familia","Other",7,"2018-04-11"
1043,1004,1004,"Park Guell","Suburban",17,"2020-06-15"
1044,1007,1004,"Casa Batllo","Other",8,"2020-08-14"
1045,1012,1004,"Casa Mila (La Pedrera)","Other",15,"2022-05-25"
1046,1003,1004,"Casa Vicens","Suburban",22,"2021-03-05"
1047,1006,1004,"Cathedral of Barcelona","Suburban",10,"2022-07-25"
1048,1005,1004,"La Boqueria Market","Urban",3,"2022-12-04"
1049,1008,1004,"Montjuic Hill & Castle","Other",36,"2021-08-06"
1050,1005,1004,"Barceloneta Beach","Urban",2,"2017-04-15"
1051,1010,1004,"Parc de la Ciutadella","Suburban",14,"2022-03-27"
1052,1008,1004,"Tibidabo","Suburban",22,"2017-10-04"
1053,1012,1004,"Camp Nou","Urban",11,"2020-04-13"
1054,1011,1004,"Poble Espanyol","Suburban",6,"2021-11-27"
1055,1009,1004,"Palau de la Musica Catalana","Industrial",23,"2022-08-02"
1056,1003,1004,"Gothic Quarter (Barri Gotic)","Other",19,"2018-09-19"
1057,1009,1005,"Belgrade Fortress (Kalemegdan)","Urban",35,"2020-02-11"
1058,1007,1005,"Knez Mihailova Street","Urban",9,"2022-08-30"
1059,1012,1005,"Temple of Saint Sava","Other",18,"2018-07-17"
1060,1006,1005,"Skadarlija","Industrial",4,"2020-03-07"
1061,1004,1005,"Republic Square","Other",11,"2022-09-17"
1062,1010,1005,"Ada Ciganlija","Other",4,"2021-09-28"
1063,1003,1005,"Avala Tower","Industrial",35,"2022-10-19"
1064,1006,1005,"Nikola Tesla Museum","Other",8,"2017-04-08"
1065,1011,1005,"Royal Arena","Urban",22,"2021-06-28"
1066,1002,1005,"City Park","Urban",7,"2018-04-05"
1067,1007,1006,"Brandenburg Gate","Industrial",7,"2022-04-16"
1068,1010,1006,"Reichstag Building","Suburban",22,"2017-10-25"
1069,1012,1006,"East Side Gallery (Berlin Wall)","Urban",13,"2022-04-25"
1070,1002,1006,"Checkpoint Charlie","Suburban",3,"2022-01-10"
1071,1010,1006,"Fernsehturm (TV Tower)","Suburban",27,"2022-01-27"
1072,1009,1006,"Museum Island","Industrial",6,"2022-08-23"
1073,1008,1006,"Berlin Cathedral (Berliner Dom)","Other",12,"2018-03-20"
1074,1006,1006,"Holocaust Memorial","Urban",5,"2021-10-13"
1075,1005,1006,"Victory Column (Siegessaule)","Industrial",8,"2018-12-15"
1076,1006,1006,"Charlottenburg Palace","Industrial",25,"2017-12-14"
1077,1002,1006,"Gendarmenmarkt","Industrial",9,"2017-10-17"
1078,1007,1006,"Potsdamer Platz","Industrial",30,"2017-12-06"
1079,1004,1006,"Kaiser Wilhelm Memorial Church","Urban",16,"2021-02-05"
1080,1005,1006,"Alexanderplatz","Industrial",19,"2021-05-16"
1081,1003,1006,"Central Library","Other",11,"2018-12-12"
1082,1002,1006,"City Mall","Suburban",26,"2022-07-06"
1083,1009,1006,"Grand Station","Urban",5,"2017-07-06"
1084,1008,1006,"New Park","Suburban",4,"2019-10-10"
1085,1001,1006,"Royal Museum","Suburban",21,"2022-11-14"
1086,1003,1006,"Downtown Hall","Other",32,"2020-06-26"
1087,1004,1006,"Central Station","Other",3,"2017-10-20"
1088,1011,1006,"Western Hall","Industrial",24,"2018-09-28"
1089,1003,1006,"General Garden","Urban",34,"2017-10-16"
1090,1010,1006,"Main Stadium","Urban",37,"2019-02-12"
1091,1012,1007,"Spilberk Castle","Suburban",28,"2022-03-20"
1092,1002,1007,"Cathedral of St. Peter and Paul","Suburban",14,"2019-07-12"
1093,1001,1007,"Villa Tugendhat","Urban",2,"2021-07-22"
1094,1012,1007,"Freedom Square (Namesti Svobody)","Suburban",5,"2022-08-11"
1095,1006,1007,"Central Park","Other",4,"2017-02-08"
1096,1005,1007,"Main Hall","Industrial",11,"2021-04-09"
1097,1012,1008,"Grand Place (Grote Markt)","Other",8,"2020-05-03"
1098,1006,1008,"Galeries Royales Saint-Hubert","Other",17,"2020-04-20"
1099,1010,1008,"Atomium","Other",86,"2019-05-16"
1100,1003,1008,"Cathedral of St. Michael and St. Gudula","Urban",5,"2020-08-15"
1101,1004,1008,"Manneken Pis","Other",3,"2020-10-29"
1102,1012,1008,"Royal Palace of Brussels","Suburban",14,"2021-10-16"
1103,1001,1008,"Cinquantenaire Arch","Urban",41,"2017-12-18"
1104,1012,1008,"European Parliament","Industrial",24,"2018-09-15"
1105,1010,1008,"Palace of Justice","Other",10,"2018-05-30"
1106,1012,1008,"Mont des Arts","Industrial",13,"2020-11-21"
1107,1003,1008,"Old Library","Urban",23,"2017-12-03"
1108,1007,1008,"New Stadium","Urban",32,"2020-02-13"
1109,1005,1008,"City Museum","Industrial",18,"2021-01-17"
1110,1012,1009,"Hungarian Parliament Building","Suburban",18,"2020-05-14"
1111,1002,1009,"Szechenyi Thermal Baths","Suburban",5,"2018-06-23"
1112,1008,1009,"Buda Castle & Castle Hill","Other",32,"2018-05-25"
1113,1001,1009,"Szechenyi Chain Bridge","Urban",12,"2018-12-14"
1114,1003,1009,"Fisherman Bastion","Suburban",3,"2022-02-19"
1115,1011,1009,"St. Stephen Basilica","Urban",11,"2022-07-05"
1116,1009,1009,"Matthias Church","Suburban",7,"2020-11-15"
1117,1006,1009,"Heroes Square","Urban",4,"2022-06-08"
1118,1005,1009,"Citadella (Gellert Hill)","Suburban",130,"2020-03-20"
1119,1001,1009,"Hungarian State Opera House","Suburban",23,"2019-09-04"
1120,1012,1009,"New Park","Urban",26,"2022-07-21"
1121,1008,1009,"Central Market","Other",19,"2021-11-03"
1122,1005,1009,"City Garden","Industrial",32,"2020-09-13"
1123,1009,1009,"National Stadium","Industrial",38,"2022-07-04"
1124,1011,1009,"Old Bridge","Other",8,"2017-11-07"
1125,1003,1009,"Royal Museum","Urban",4,"2019-02-18"
1126,1003,1010,"Nyhavn","Industrial",3,"2020-11-08"
1127,1002,1010,"The Little Mermaid","Other",1,"2020-10-31"
1128,1005,1010,"Tivoli Gardens","Industrial",7,"2017-02-10"
1129,1007,1010,"Rosenborg Castle","Other",10,"2022-10-10"
1130,1009,1010,"The Round Tower (Rundetaarn)","Other",30,"2017-04-21"
1131,1006,1010,"Christiansborg Palace","Suburban",14,"2019-05-24"
1132,1010,1010,"Amalienborg Palace","Other",6,"2017-06-09"
1133,1003,1010,"Church of Our Saviour","Urban",33,"2021-11-28"
1134,1011,1010,"Copenhagen Opera House","Suburban",9,"2019-11-07"
1135,1004,1010,"Frederik Church (Marmorkirken)","Urban",18,"2021-05-26"
1136,1004,1010,"Central Station","Suburban",12,"2019-12-30"
1137,1008,1010,"City Hall","Suburban",4,"2020-09-02"
1138,1012,1010,"Main Library","Industrial",8,"2020-12-16"
1139,1001,1010,"Downtown Market","Other",3,"2017-07-01"
1140,1005,1010,"Royal Theater","Suburban",11,"2017-03-26"
1141,1007,1010,"Central Park","Suburban",5,"2019-09-04"
1142,1003,1011,"Edinburgh Castle","Suburban",15,"2022-10-21"
1143,1012,1011,"Royal Mile","Other",4,"2022-09-24"
1144,1008,1011,"Arthur Seat","Other",95,"2021-08-29"
1145,1001,1011,"Palace of Holyroodhouse","Urban",7,"2020-10-18"
1146,1003,1011,"Calton Hill","Urban",98,"2018-07-29"
1147,1002,1011,"Scott Monument","Urban",61,"2021-10-15"
1148,1009,1011,"St. Giles Cathedral","Suburban",4,"2019-09-14"
1149,1008,1011,"Old Gallery","Industrial",11,"2021-07-24"
1150,1010,1011,"Central Park","Other",3,"2018-04-28"
1151,1005,1012,"Liseberg","Industrial",31,"2019-04-09"
1152,1010,1012,"Haga","Industrial",5,"2017-02-05"
1153,1012,1012,"Skansen Kronan","Industrial",19,"2021-03-18"
1154,1011,1012,"Gothenburg Opera House","Industrial",8,"2021-10-16"
1155,1003,1012,"Gothenburg Central Station","Urban",5,"2022-12-15"
1156,1003,1012,"Gothenburg Botanical Garden","Urban",65,"2018-12-25"
1157,1008,1012,"Gothenburg University","Other",8,"2022-06-04"
1158,1012,1012,"Gothenburg Harbor","Suburban",4,"2018-07-05"
1159,1002,1012,"Gothenburg Refinery","Urban",3,"2018-07-17"
1160,1011,1012,"Lindholmen","Other",2,"2020-03-17"
1161,1004,1013,"Schlossberg Clock Tower","Other",9,"2019-01-18"
1162,1003,1013,"Eggenberg Palace","Industrial",6,"2021-09-26"
1163,1005,1013,"Murinsel","Other",5,"2020-04-25"
1164,1005,1013,"Graz Cathedral","Other",11,"2021-10-29"
1165,1012,1013,"Graz Central Station","Suburban",4,"2020-10-14"
1166,1009,1013,"Jakomini","Industrial",26,"2019-04-26"
1167,1001,1013,"Andritz Industrial Park","Urban",21,"2021-09-21"
1168,1005,1013,"Murpark","Urban",3,"2019-11-19"
1169,1011,1013,"University District","Other",10,"2018-09-23"
1170,1011,1013,"Graz Airport","Urban",28,"2017-01-16"
1171,1008,1014,"Elbphilharmonie","Suburban",9,"2021-09-07"
1172,1003,1014,"Speicherstadt","Other",6,"2017-02-21"
1173,1002,1014,"St. Michael Church","Industrial",4,"2022-07-10"
1174,1006,1014,"Hamburg Rathaus","Industrial",8,"2017-08-08"
1175,1007,1014,"Reeperbahn","Suburban",7,"2019-09-29"
1176,1009,1014,"Miniatur Wunderland","Urban",30,"2017-07-24"
1177,1005,1014,"Landungsbrucken","Urban",5,"2017-02-27"
1178,1009,1014,"Binnenalster","Suburban",6,"2019-07-12"
1179,1008,1014,"Jungfernstieg","Suburban",19,"2018-12-29"
1180,1006,1014,"Planten un Blomen","Industrial",2,"2019-01-04"
1181,1001,1015,"Helsinki Cathedral","Other",39,"2018-10-04"
1182,1005,1015,"Suomenlinna Fortress","Urban",5,"2020-02-19"
1183,1002,1015,"Temppeliaukio Church","Urban",31,"2022-08-28"
1184,1004,1015,"Sibelius Monument","Suburban",8,"2019-06-02"
1185,1009,1015,"Uspenski Cathedral","Suburban",6,"2020-01-18"
1186,1002,1015,"Kauppatori","Urban",2,"2021-06-19"
1187,1008,1015,"Helsinki Central Station","Industrial",4,"2020-07-30"
1188,1007,1015,"Kamppi","Industrial",3,"2022-08-21"
1189,1008,1015,"Pasila","Industrial",1,"2018-05-13"
1190,1010,1015,"Vuosaari Harbor","Other",7,"2020-07-18"
1191,1006,1016,"Hagia Sophia Grand Mosque","Urban",3,"2021-06-03"
1192,1001,1016,"Blue Mosque (Sultan Ahmed)","Industrial",2,"2019-02-05"
1193,1010,1016,"Topkapi Palace","Other",31,"2020-01-26"
1194,1011,1016,"Grand Bazaar","Industrial",14,"2018-03-15"
1195,1008,1016,"Galata Tower","Industrial",11,"2020-04-28"
1196,1010,1016,"Dolmabahce Palace","Industrial",8,"2018-04-19"
1197,1003,1016,"Suleymaniye Mosque","Industrial",2,"2021-02-03"
1198,1005,1016,"Beylerbeyi Palace","Industrial",25,"2017-03-18"
1199,1007,1016,"Bosphorus Strait","Other",226,"2020-03-31"
1200,1011,1016,"Belgrad Forest","Other",20,"2020-09-22"
1201,1011,1016,"Yildiz Park","Urban",37,"2021-07-29"
1202,1001,1016,"Princes Islands","Industrial",24,"2021-07-10"
1203,1002,1016,"Golden Horn","Urban",1,"2018-10-14"
1204,1007,1016,"Taksim Square","Urban",24,"2019-02-06"
1205,1011,1016,"Istiklal Street","Other",28,"2021-07-31"
1206,1003,1016,"Maiden Tower","Urban",18,"2019-05-13"
1207,1010,1016,"Camlica Tower","Other",30,"2021-11-26"
1208,1007,1016,"Kadikoy","Industrial",16,"2019-03-18"
1209,1002,1016,"Uskudar","Industrial",16,"2017-03-06"
1210,1008,1016,"Galata Bridge","Urban",25,"2018-03-09"
1211,1006,1016,"15 July Martyrs Bridge","Suburban",21,"2021-07-27"
1212,1003,1016,"Camlica Mosque","Urban",17,"2020-07-09"
1213,1006,1016,"Eyup Sultan Mosque","Urban",18,"2017-07-11"
1214,1009,1016,"Spice Bazaar","Other",13,"2018-06-01"
1215,1002,1016,"Chora Mosque (Kariye)","Suburban",32,"2022-10-22"
1216,1009,1016,"Istanbul Archaeological Museums","Industrial",32,"2020-06-14"
1217,1008,1016,"Pierre Loti Hill","Suburban",106,"2017-05-28"
1218,1007,1016,"Ortakoy Mosque","Industrial",38,"2021-12-01"
1219,1006,1016,"Rumeli Fortress","Suburban",23,"2020-03-28"
1220,1001,1016,"Grand Arena","Industrial",37,"2018-03-22"
1221,1005,1016,"Downtown Palace","Other",8,"2019-06-30"
1222,1009,1016,"National Zoo","Suburban",40,"2021-12-07"
1223,1004,1016,"Old Tower","Other",29,"2018-08-12"
1224,1005,1016,"Old Airport","Other",20,"2018-01-17"
1225,1010,1016,"Main Zoo","Urban",295,"2020-01-30"
1226,1012,1016,"Grand Airport","Other",14,"2020-08-18"
1227,1011,1016,"Western Stadium","Urban",6,"2018-09-10"
1228,1003,1016,"Old Park","Other",5,"2020-03-22"
1229,1003,1016,"Eastern Airport","Industrial",39,"2018-03-22"
1230,1008,1016,"Eastern Bridge","Urban",123,"2018-05-06"
1231,1012,1016,"Northern Arena","Suburban",30,"2018-02-15"
1232,1002,1016,"Downtown Gallery","Urban",38,"2021-08-20"
1233,1011,1016,"Southern Opera House","Other",35,"2022-02-01"
1234,1004,1016,"Old Gallery","Industrial",18,"2022-09-21"
1235,1003,1016,"Downtown Memorial","Other",252,"2019-10-18"
1236,1005,1016,"National Bridge","Suburban",37,"2019-03-09"
1237,1005,1016,"Main Monument","Industrial",20,"2021-08-25"
1238,1012,1016,"Southern Memorial","Other",33,"2022-12-04"
1239,1009,1016,"Eastern Library","Industrial",39,"2020-02-01"
1240,1001,1016,"Downtown Bridge","Suburban",39,"2017-09-17"
1241,1005,1016,"Royal Tower","Industrial",296,"2018-01-21"
1242,1011,1016,"Western Center","Other",2,"2021-12-19"
1243,1011,1016,"Downtown Library","Industrial",12,"2019-11-07"
1244,1008,1016,"City Monument","Other",18,"2017-11-17"
1245,1003,1016,"Downtown Hospital","Industrial",32,"2018-07-17"
1246,1002,1016,"National Stadium","Other",22,"2022-10-05"
1247,1006,1016,"City Theater","Industrial",22,"2021-09-05"
1248,1007,1016,"Western Bridge","Urban",26,"2017-10-15"
1249,1009,1016,"Central Hospital","Suburban",21,"2019-01-31"
1250,1005,1016,"Southern Zoo","Suburban",26,"2018-08-13"
1251,1009,1016,"Western Zoo","Urban",35,"2019-01-19"
1252,1008,1016,"Eastern Mall","Other",182,"2021-05-09"
1253,1006,1016,"New Square","Industrial",29,"2019-02-05"
1254,1001,1016,"Southern Tower","Industrial",9,"2019-07-09"
1255,1005,1016,"Western Airport","Industrial",32,"2017-08-31"
1256,1002,1016,"Istanbul University","Other",39,"2018-11-05"
1257,1004,1016,"Main Airport","Urban",1,"2017-04-22"
1258,1009,1016,"National Tower","Urban",265,"2020-12-09"
1259,1002,1016,"Northern Mall","Industrial",10,"2018-08-17"
1260,1008,1016,"Western Hall","Urban",18,"2019-12-11"
1261,1007,1016,"Istanbul Station","Industrial",16,"2021-10-26"
1262,1008,1016,"Central Garden","Industrial",13,"2022-08-16"
1263,1010,1016,"National Station","Suburban",9,"2021-04-08"
1264,1002,1016,"Western Theater","Urban",27,"2017-05-05"
1265,1006,1016,"Main Theater","Suburban",1,"2021-06-26"
1266,1005,1016,"General Bridge","Industrial",38,"2017-11-09"
1267,1011,1016,"Downtown Zoo","Industrial",29,"2019-05-15"
1268,1009,1016,"Royal Palace","Other",36,"2017-09-13"
1269,1009,1016,"Northern Park","Urban",21,"2019-06-15"
1270,1004,1016,"Istanbul Library","Other",15,"2020-01-26"
1271,1007,1016,"City University","Other",31,"2017-07-05"
1272,1012,1016,"Western Monument","Industrial",10,"2017-08-16"
1273,1008,1016,"Royal Library","Other",38,"2017-05-13"
1274,1006,1016,"Royal Center","Industrial",29,"2019-05-13"
1275,1002,1016,"Grand Palace","Suburban",1,"2019-08-24"
1276,1012,1016,"Old Castle","Urban",10,"2018-06-20"
1277,1002,1016,"Central Park","Suburban",17,"2017-10-18"
1278,1006,1016,"Eastern Hospital","Other",6,"2022-03-09"
1279,1006,1016,"Royal Hall","Other",21,"2018-06-03"
1280,1011,1016,"Northern Library","Industrial",3,"2018-02-14"
1281,1010,1016,"Central University","Urban",19,"2017-11-30"
1282,1004,1016,"New Station","Suburban",7,"2019-01-21"
1283,1011,1016,"Central Center","Industrial",20,"2017-03-17"
1284,1001,1016,"City Arena","Urban",4,"2022-07-31"
1285,1005,1016,"General Hall","Suburban",10,"2019-03-18"
1286,1004,1016,"Main Tower","Industrial",12,"2020-02-01"
1287,1011,1017,"Kazan Aircraft Production Association","Industrial",28,"2020-05-11"
1288,1002,1017,"Tatneft Arena Logistics Zone","Other",10,"2019-03-15"
1289,1006,1017,"Baumana Street","Other",5,"2019-10-10"
1290,1001,1017,"Soyembika Tower","Other",19,"2017-08-07"
1291,1008,1017,"Kazan Family Center","Urban",6,"2020-08-18"
1292,1003,1017,"Kazan Kremlin","Suburban",14,"2021-12-18"
1293,1012,1017,"Kazan Railway Station","Urban",37,"2022-07-05"
1294,1009,1017,"Salavat Kupere Residential Complex","Other",4,"2017-05-04"
1295,1012,1017,"Kazan State University Main Campus","Other",3,"2019-12-03"
1296,1003,1018,"Monument to the Battle of the Nations","Industrial",10,"2018-11-20"
1297,1002,1018,"St. Thomas Church","Urban",9,"2021-03-09"
1298,1009,1018,"St. Nicholas Church","Industrial",8,"2022-11-15"
1299,1008,1018,"Leipzig Hauptbahnhof","Suburban",5,"2021-10-21"
1300,1011,1018,"Central Park","Urban",16,"2018-10-04"
1301,1003,1018,"New Garden","Urban",23,"2022-09-25"
1302,1001,1018,"City Museum","Other",3,"2019-04-04"
1303,1010,1018,"Old Monument","Industrial",1,"2017-04-29"
1304,1007,1018,"Downtown Hall","Suburban",14,"2018-04-21"
1305,1006,1019,"Buckingham Palace","Other",15,"2017-11-28"
1306,1004,1019,"Big Ben & Houses of Parliament","Suburban",3,"2021-01-14"
1307,1001,1019,"Tower of London","Urban",7,"2020-10-04"
1308,1010,1019,"Tower Bridge","Urban",42,"2021-11-23"
1309,1003,1019,"London Eye","Other",135,"2021-05-01"
1310,1005,1019,"Westminster Abbey","Suburban",8,"2019-08-17"
1311,1007,1019,"St. Paul Cathedral","Urban",5,"2020-07-27"
1312,1009,1019,"British Museum","Other",4,"2019-07-31"
1313,1003,1019,"National Gallery","Urban",7,"2017-04-10"
1314,1002,1019,"Trafalgar Square","Urban",14,"2017-05-20"
1315,1001,1019,"Piccadilly Circus","Industrial",12,"2022-02-17"
1316,1006,1019,"Hyde Park","Industrial",17,"2022-07-28"
1317,1012,1019,"Covent Garden","Other",8,"2020-07-02"
1318,1008,1019,"Madame Tussauds","Suburban",3,"2021-12-10"
1319,1003,1019,"Kensington Palace","Other",11,"2020-12-27"
1320,1008,1019,"The Shard","Industrial",289,"2019-01-10"
1321,1006,1019,"The Gherkin","Other",180,"2022-12-11"
1322,1012,1019,"Canary Wharf","Urban",6,"2021-10-22"
1323,1001,1019,"Oxford Street","Urban",5,"2018-11-30"
1324,1009,1019,"Camden Market","Industrial",2,"2018-12-26"
1325,1005,1019,"Shakespeare Globe","Other",8,"2017-04-27"
1326,1003,1019,"Greenwich Observatory","Suburban",47,"2020-06-30"
1327,1010,1019,"Cutty Sark","Other",4,"2017-10-27"
1328,1011,1019,"Kew Gardens","Other",14,"2021-06-02"
1329,1007,1019,"St Pancras International","Industrial",9,"2020-08-09"
1330,1009,1019,"Leicester Square","Urban",2,"2021-02-16"
1331,1002,1019,"Borough Market","Suburban",1,"2019-11-11"
1332,1001,1019,"10 Downing Street","Urban",3,"2018-05-12"
1333,1006,1019,"Sky Garden","Suburban",155,"2018-01-22"
1334,1011,1019,"Wembley Stadium","Suburban",45,"2017-03-24"
1335,1012,1019,"The O2 Arena","Industrial",52,"2019-11-04"
1336,1007,1019,"Harrods","Other",6,"2020-08-11"
1337,1002,1019,"Victoria and Albert Museum","Industrial",5,"2019-08-21"
1338,1011,1019,"Natural History Museum","Other",7,"2021-06-25"
1339,1008,1019,"Science Museum","Urban",4,"2021-11-13"
1340,1003,1019,"Battersea Power Station","Other",9,"2017-06-27"
1341,1008,1019,"Downtown Hall","Urban",18,"2020-07-13"
1342,1004,1019,"Main Library","Industrial",2,"2017-06-29"
1343,1001,1019,"National Museum","Other",7,"2021-10-20"
1344,1010,1019,"City University","Suburban",13,"2018-03-11"
1345,1003,1019,"Central Park","Industrial",4,"2019-06-25"
1346,1009,1019,"City Hospital","Other",22,"2017-01-27"
1347,1005,1019,"Royal Theater","Other",8,"2021-07-24"
1348,1004,1019,"Grand Memorial","Industrial",6,"2018-10-24"
1349,1001,1019,"Old Bridge","Other",3,"2018-10-16"
1350,1012,1019,"Western Market","Suburban",11,"2021-12-22"
1351,1002,1019,"New Center","Suburban",16,"2017-08-07"
1352,1008,1020,"Basilica of Notre-Dame de Fourviere","Suburban",8,"2020-04-01"
1353,1011,1020,"Vieux Lyon","Industrial",4,"2020-12-06"
1354,1005,1020,"Place Bellecour","Urban",7,"2022-04-27"
1355,1012,1020,"Parc de la Tete dOr","Urban",3,"2019-04-15"
1356,1004,1020,"Lyon Cathedral (St. Jean)","Other",5,"2020-01-15"
1357,1011,1020,"Main Museum","Urban",11,"2018-11-29"
1358,1006,1020,"Central Park","Suburban",2,"2018-05-12"
1359,1003,1020,"City Hall","Other",6,"2022-08-30"
1360,1007,1020,"Old Theatre","Urban",1,"2022-02-16"
1361,1009,1020,"Grand Library","Suburban",4,"2022-12-24"
1362,1005,1021,"Old Port of Marseille (Vieux-Port)","Other",5,"2017-05-03"
1363,1011,1021,"Basilique Notre-Dame de la Garde","Industrial",12,"2021-03-23"
1364,1002,1021,"Chateau dIf","Other",38,"2021-04-14"
1365,1003,1021,"Calanques National Park","Urban",45,"2020-07-15"
1366,1012,1021,"Le Panier","Other",21,"2017-10-13"
1367,1001,1021,"Palais Longchamp","Urban",9,"2020-10-12"
1368,1009,1021,"Central Museum","Other",7,"2022-04-25"
1369,1005,1021,"Downtown Garden","Suburban",2,"2017-03-10"
1370,1008,1021,"Main Square","Urban",4,"2017-01-13"
1371,1010,1021,"City Stadium","Urban",29,"2022-12-23"
1372,1007,1021,"Old Cathedral","Urban",6,"2018-06-25"
1373,1012,1022,"Milan Cathedral (Duomo di Milano)","Suburban",5,"2022-04-10"
1374,1009,1022,"Galleria Vittorio Emanuele II","Industrial",8,"2020-09-27"
1375,1007,1022,"La Scala Theatre","Suburban",6,"2017-03-16"
1376,1010,1022,"Sforza Castle (Castello Sforzesco)","Other",13,"2017-11-13"
1377,1004,1022,"Navigli Canals","Suburban",2,"2022-01-16"
1378,1006,1022,"Santa Maria delle Grazie","Industrial",9,"2019-12-09"
1379,1008,1022,"San Siro Stadium","Urban",23,"2018-10-02"
1380,1002,1022,"City Park","Industrial",4,"2021-09-04"
1381,1011,1022,"Central Station","Industrial",1,"2019-06-21"
1382,1003,1022,"Old Market","Urban",6,"2022-12-20"
1383,1005,1022,"Main Library","Urban",3,"2017-01-21"
1384,1001,1022,"Downtown Arena","Other",27,"2021-06-17"
1385,1004,1022,"National Museum","Industrial",11,"2018-04-21"
1386,1009,1023,"Independence Square","Industrial",12,"2019-05-16"
1387,1007,1023,"Minsk Hero City Obelisk (Victory Monument)","Suburban",10,"2020-08-12"
1388,1012,1023,"National Library of Belarus","Industrial",8,"2022-10-24"
1389,1011,1023,"Trinity Hill (Trojeckaje Pradmiescie)","Urban",2,"2021-08-29"
1390,1008,1023,"Gates of Minsk","Suburban",1,"2018-08-11"
1391,1004,1023,"Central Park","Industrial",6,"2020-08-03"
1392,1002,1023,"City Museum","Industrial",5,"2022-06-15"
1393,1003,1023,"Main Stadium","Urban",19,"2017-04-28"
1394,1006,1023,"Downtown Square","Urban",3,"2019-09-25"
1395,1005,1023,"Old Fortress","Urban",4,"2020-02-25"
1396,1011,1024,"Kremlin & Red Square","Other",25,"2021-09-19"
1397,1001,1024,"Olimpiyskiy Sports Complex","Urban",12,"2018-11-19"
1398,1009,1024,"Bolshoi Theatre","Other",5,"2021-01-29"
1399,1006,1024,"Sheremetyevo Airport Cargo Complex","Industrial",6,"2018-10-15"
1400,1005,1024,"Altufyevo Industrial Zone","Industrial",8,"2019-07-18"
1401,1008,1024,"Domodedovo Airport Cargo Village","Industrial",20,"2017-11-19"
1402,1012,1024,"ZiL Industrial Zone","Industrial",7,"2020-07-23"
1403,1004,1024,"Kuntsevo Industrial Park","Industrial",2,"2021-12-05"
1404,1002,1024,"Ostankino TV Tower","Suburban",147,"2022-11-04"
1405,1007,1024,"VDNKh (Exhibition Center)","Urban",42,"2022-11-21"
1406,1004,1024,"Moscow State University (MSU)","Other",201,"2022-05-17"
1407,1001,1024,"Novodevichy Convent","Other",18,"2019-08-24"
1408,1003,1024,"Kolomenskoye Estate","Other",35,"2020-06-14"
1409,1003,1024,"Tretyakov Gallery","Urban",17,"2020-11-23"
