id,servicetypeid,employeeid,sensordevid,servicedat,servicecost,durationminutes,servicequality
100177,1019,1143,1005,"2024-03-29",199,71,5
100178,1017,1472,1005,"2024-04-28",211,57,4
100179,1015,1307,1005,"2024-04-29",123,144,4
100180,1013,1220,1005,"2024-05-13",162,76,3
100181,1009,1218,1005,"2024-06-03",175,79,4
100182,1010,1418,1005,"2024-06-05",120,85,3
100183,1016,1119,1005,"2024-06-08",184,72,4
100184,1015,1307,1005,"2024-08-25",160,135,4
100185,1024,1100,1005,"2024-09-12",289,113,4
100186,1022,1472,1005,"2024-12-04",212,115,5
100187,1011,1331,1005,"2024-12-08",95,83,3
100188,1015,1409,1006,"2023-01-11",202,113,3
100189,1008,1321,1006,"2023-02-14",270,92,4
100190,1019,1252,1006,"2023-02-16",98,62,3
100191,1004,1084,1006,"2023-02-27",175,92,3
100192,1003,1439,1006,"2023-03-01",161,77,4
100193,1016,1305,1006,"2023-03-13",133,86,5
100194,1004,1370,1006,"2023-03-15",107,64,4
100195,1017,1267,1006,"2023-03-26",214,64,3
100196,1021,1332,1006,"2023-04-13",188,116,1
100197,1019,1365,1006,"2023-04-22",196,82,4
100198,1016,1217,1006,"2023-06-15",206,94,4
100199,1017,1278,1006,"2023-06-25",137,68,3
100200,1024,1048,1006,"2023-08-02",291,127,5
100201,1003,1077,1006,"2023-08-16",137,69,3
100202,1008,1062,1006,"2023-08-28",113,79,4
100203,1024,1234,1006,"2023-09-15",213,144,5
100204,1015,1222,1006,"2023-10-12",293,125,5
100205,1004,1475,1006,"2023-11-17",166,120,5
100206,1015,1384,1006,"2023-11-26",253,67,5
100207,1001,1128,1006,"2023-11-30",185,87,4
100208,1021,1334,1006,"2023-12-10",102,61,4
100209,1007,1356,1006,"2023-12-12",210,59,4
100210,1005,1246,1006,"2023-12-14",139,90,5
100211,1010,1281,1006,"2023-12-16",194,64,5
100212,1003,1365,1006,"2024-01-08",148,86,5
100213,1016,1111,1006,"2024-01-14",182,105,4
100214,1005,1149,1006,"2024-01-21",206,78,4
100215,1020,1401,1006,"2024-02-14",129,127,5
100216,1017,1472,1006,"2024-02-20",157,80,5
100217,1011,1331,1006,"2024-03-02",109,84,3
100218,1007,1472,1006,"2024-03-26",238,146,5
100219,1016,1408,1006,"2024-04-12",202,130,5
100220,1010,1311,1006,"2024-04-15",197,85,5
100221,1006,1301,1006,"2024-04-27",139,102,5
100222,1013,1038,1006,"2024-05-09",265,170,1
100223,1022,1306,1006,"2024-05-24",218,109,4
100224,1007,1356,1006,"2024-05-27",168,91,4
100225,1014,1243,1006,"2024-06-19",103,85,3
100226,1001,1119,1006,"2024-07-08",249,132,4
100227,1013,1304,1006,"2024-07-22",234,126,5
100228,1014,1207,1006,"2024-09-08",139,73,3
100229,1020,1024,1006,"2024-09-13",261,142,5
100230,1015,1359,1006,"2024-10-15",172,92,3
100231,1006,1120,1006,"2024-10-27",122,55,4
100232,1014,1226,1006,"2024-12-25",173,82,4
100233,1006,1156,1007,"2023-01-18",103,66,3
100234,1014,1308,1007,"2023-01-23",176,83,5
100235,1024,1366,1007,"2023-02-23",159,128,5
100236,1018,1139,1007,"2023-03-04",214,136,2
100237,1006,1289,1007,"2023-03-06",179,93,5
100238,1022,1139,1007,"2023-03-21",155,82,5
100239,1013,1360,1007,"2023-04-09",126,151,3
100240,1020,1201,1007,"2023-04-13",121,157,5
100241,1004,1106,1007,"2023-04-30",186,100,4
100242,1014,1296,1007,"2023-05-26",93,73,5
100243,1019,1039,1007,"2023-05-28",137,67,4
100244,1008,1360,1007,"2023-06-21",137,77,5
100245,1017,1117,1007,"2023-06-22",240,107,4
100246,1021,1120,1007,"2023-08-10",186,64,5
100247,1019,1169,1007,"2023-08-27",120,69,4
100248,1015,1463,1007,"2023-09-13",116,74,3
100249,1022,1306,1007,"2023-09-24",124,130,4
100250,1021,1230,1007,"2023-10-23",134,45,4
100251,1014,1126,1007,"2023-10-27",175,81,5
100252,1015,1479,1007,"2023-11-26",239,124,3
100253,1018,1031,1007,"2024-01-17",219,110,5
100254,1007,1159,1007,"2024-01-22",124,95,3
100255,1007,1351,1007,"2024-02-03",146,148,5
100256,1004,1265,1007,"2024-02-08",149,88,3
100257,1013,1480,1007,"2024-02-27",275,119,2
100258,1008,1137,1007,"2024-03-22",116,151,3
100259,1006,1291,1007,"2024-04-07",105,50,3
100260,1016,1247,1007,"2024-05-16",199,115,5
100261,1008,1211,1007,"2024-06-11",173,105,3
100262,1011,1365,1007,"2024-06-27",132,68,5
100263,1011,1253,1007,"2024-06-30",185,74,3
100264,1023,1133,1007,"2024-07-07",143,108,5
100265,1004,1316,1007,"2024-07-17",90,100,4
100266,1006,1316,1007,"2024-07-21",93,55,5
100267,1014,1331,1007,"2024-08-23",111,82,5
100268,1020,1224,1007,"2024-09-05",257,115,4
100269,1010,1453,1007,"2024-09-25",223,96,4
100270,1012,1090,1007,"2024-10-12",255,146,3
100271,1019,1034,1007,"2024-10-28",120,84,5
100272,1019,1315,1007,"2024-11-02",94,79,5
100273,1003,1243,1007,"2024-11-03",146,84,4
100274,1003,1253,1007,"2024-11-28",130,80,4
100275,1007,1139,1007,"2024-12-19",247,116,4
100276,1011,1327,1008,"2023-02-15",155,67,4
100277,1022,1127,1008,"2023-02-22",246,53,5
100278,1002,1120,1008,"2023-03-10",158,56,5
100279,1004,1335,1008,"2023-04-03",147,97,3
100280,1019,1033,1008,"2023-04-13",106,70,5
100281,1018,1374,1008,"2023-05-04",208,66,3
100282,1001,1150,1008,"2023-05-27",153,105,4
100283,1006,1474,1008,"2023-06-15",99,83,5
100284,1005,1149,1008,"2023-06-20",208,116,3
100285,1019,1145,1008,"2023-07-18",115,80,2
100286,1013,1209,1008,"2023-08-08",257,128,4
100287,1013,1369,1008,"2023-08-13",139,81,5
100288,1015,1048,1008,"2023-08-14",107,70,5
100289,1007,1443,1008,"2023-09-11",226,129,5
100290,1024,1369,1008,"2023-09-27",174,142,2
100291,1002,1393,1008,"2023-12-08",118,103,4
100292,1023,1299,1008,"2023-12-10",141,104,4
100293,1012,1307,1008,"2024-01-18",287,170,5
100294,1007,1218,1008,"2024-02-25",147,90,4
100295,1009,1139,1008,"2024-03-01",156,62,5
100296,1003,1309,1008,"2024-04-17",121,90,3
100297,1014,1248,1008,"2024-05-19",163,83,4
100298,1008,1417,1008,"2024-06-05",219,123,3
100299,1022,1096,1008,"2024-06-15",220,114,4
100300,1019,1189,1008,"2024-06-18",96,61,5
100301,1002,1003,1008,"2024-06-29",188,58,5
100302,1008,1360,1008,"2024-07-01",193,65,4
100303,1013,1202,1008,"2024-07-04",118,109,5
100304,1012,1112,1008,"2024-08-14",132,72,5
100305,1022,1215,1008,"2024-08-23",156,75,5
100306,1002,1016,1008,"2024-12-05",84,62,3
100307,1022,1306,1008,"2024-12-08",236,69,4
100308,1014,1448,1009,"2023-01-09",189,78,4
100309,1023,1120,1009,"2023-01-25",147,93,4
100310,1023,1481,1009,"2023-03-28",94,69,5
100311,1013,1236,1009,"2023-05-06",276,86,5
100312,1024,1426,1009,"2023-07-27",286,67,3
100313,1005,1311,1009,"2023-08-17",203,134,5
100314,1010,1128,1009,"2023-08-27",237,118,5
100315,1019,1440,1009,"2023-09-04",177,80,3
100316,1003,1458,1009,"2023-09-18",114,90,5
100317,1022,1128,1009,"2023-09-19",193,140,5
100318,1024,1307,1009,"2023-10-16",243,179,2
100319,1003,1284,1009,"2023-11-04",176,77,5
100320,1012,1199,1009,"2023-11-19",174,65,4
100321,1001,1407,1009,"2024-01-04",185,145,4
100322,1020,1199,1009,"2024-01-19",243,149,4
100323,1015,1233,1009,"2024-01-23",162,66,4
100324,1004,1046,1009,"2024-02-05",92,97,5
100325,1012,1137,1009,"2024-02-24",101,130,1
100326,1007,1472,1009,"2024-03-12",242,133,5
100327,1011,1365,1009,"2024-03-19",97,89,3
100328,1011,1126,1009,"2024-04-05",158,83,3
100329,1012,1202,1009,"2024-04-14",206,172,3
100330,1022,1071,1009,"2024-04-25",221,150,5
100331,1011,1022,1009,"2024-05-14",128,78,5
100332,1010,1472,1009,"2024-06-08",246,67,3
100333,1023,1154,1009,"2024-06-26",183,59,5
100334,1021,1108,1009,"2024-07-03",81,88,3
100335,1020,1479,1009,"2024-07-29",149,82,5
100336,1001,1311,1009,"2024-09-04",142,101,4
100337,1019,1253,1009,"2024-10-11",131,89,5
100338,1001,1412,1009,"2024-10-14",188,92,4
100339,1024,1287,1009,"2024-11-09",277,90,4
100340,1016,1124,1009,"2024-12-25",223,137,5
100341,1021,1421,1009,"2024-12-26",197,82,4
100342,1021,1468,1010,"2023-02-19",105,118,4
100343,1020,1348,1010,"2023-02-24",213,74,5
100344,1019,1283,1010,"2023-03-09",147,85,4
100345,1017,1317,1010,"2023-03-30",134,121,5
100346,1011,1253,1010,"2023-04-18",122,86,4
100347,1017,1058,1010,"2023-04-24",228,94,3
100348,1021,1016,1010,"2023-06-25",199,53,2
100349,1015,1401,1010,"2023-07-12",146,158,5
100350,1019,1203,1010,"2023-10-16",147,87,2
100351,1024,1426,1010,"2023-10-18",269,171,5
100352,1004,1387,1010,"2023-11-20",130,112,4
100353,1023,1008,1010,"2023-12-23",118,104,5
100354,1013,1160,1010,"2023-12-26",163,118,5
100355,1011,1458,1010,"2024-01-06",182,84,5
100356,1007,1472,1010,"2024-01-14",124,80,4
100357,1010,1311,1010,"2024-02-06",132,81,3
100358,1003,1146,1010,"2024-02-09",159,66,3
100359,1016,1119,1010,"2024-03-03",248,87,5
100360,1009,1311,1010,"2024-03-09",180,88,3
100361,1004,1386,1010,"2024-04-05",108,97,4
100362,1012,1480,1010,"2024-04-08",288,176,5
100363,1013,1024,1010,"2024-06-15",188,180,5
100364,1010,1247,1010,"2024-06-21",226,102,5
100365,1020,1359,1010,"2024-06-29",221,90,3
100366,1019,1436,1010,"2024-07-09",108,85,4
100367,1008,1368,1010,"2024-08-01",242,127,4
100368,1001,1320,1010,"2024-08-11",140,107,3
100369,1024,1426,1010,"2024-08-25",148,66,4
100370,1015,1211,1010,"2024-09-20",294,135,3
100371,1019,1253,1010,"2024-09-23",116,87,2
100372,1021,1003,1010,"2024-10-12",107,69,1
100373,1006,1255,1011,"2023-01-12",143,115,5
100374,1005,1274,1011,"2023-02-02",245,108,5
100375,1013,1463,1011,"2023-03-11",239,122,4
100376,1019,1460,1011,"2023-04-29",198,62,1
100377,1017,1279,1011,"2023-04-30",155,130,4
100378,1018,1372,1011,"2023-06-02",236,97,5
100379,1009,1069,1011,"2023-06-04",121,118,4
100380,1014,1253,1011,"2023-06-13",158,69,5
100381,1024,1089,1011,"2023-07-01",127,177,4
100382,1002,1482,1011,"2023-07-04",112,90,5
100383,1024,1307,1011,"2023-07-17",217,132,4
100384,1019,1458,1011,"2023-08-13",198,62,4
100385,1017,1275,1011,"2023-08-19",216,120,4
100386,1012,1062,1011,"2023-08-26",227,168,5
100387,1013,1050,1011,"2023-09-06",235,177,4
100388,1021,1416,1011,"2023-09-07",140,79,4
100389,1018,1184,1011,"2023-09-14",128,72,2
100390,1021,1120,1011,"2023-10-11",155,63,3
100391,1003,1226,1011,"2023-10-12",99,69,4
100392,1018,1276,1011,"2023-10-17",204,99,3
100393,1021,1061,1011,"2023-10-23",144,89,5
100394,1023,1061,1011,"2023-11-10",123,95,2
100395,1002,1291,1011,"2023-11-19",180,102,5
100396,1006,1386,1011,"2023-11-23",135,68,5
100397,1022,1319,1011,"2023-12-27",195,81,3
100398,1022,1103,1011,"2024-01-05",217,141,3
100399,1017,1276,1011,"2024-01-07",201,96,4
100400,1023,1326,1011,"2024-01-15",126,79,4
100401,1015,1401,1011,"2024-02-01",242,131,4
100402,1012,1322,1011,"2024-02-17",241,71,5
100403,1001,1059,1011,"2024-03-05",194,102,4
100404,1009,1267,1011,"2024-03-09",163,137,4
100405,1003,1173,1011,"2024-03-21",153,64,5
100406,1022,1149,1011,"2024-04-15",243,150,5
100407,1020,1463,1011,"2024-04-25",260,123,4
100408,1019,1064,1011,"2024-05-24",128,60,2
100409,1005,1218,1011,"2024-06-30",204,106,4
100410,1024,1400,1011,"2024-07-12",277,85,4
100411,1015,1214,1011,"2024-07-18",174,154,5
100412,1023,1164,1011,"2024-07-21",121,93,5
100413,1018,1408,1011,"2024-08-11",171,125,1
100414,1002,1008,1011,"2024-08-30",173,104,1
100415,1001,1278,1011,"2024-09-25",137,102,4
100416,1001,1267,1011,"2024-10-27",184,134,5
100417,1015,1056,1011,"2024-10-29",214,136,5
100418,1004,1484,1011,"2024-11-16",133,114,5
100419,1018,1381,1011,"2024-12-27",141,63,3
100420,1013,1219,1012,"2023-01-16",216,160,5
100421,1017,1109,1012,"2023-01-18",232,142,5
100422,1023,1015,1012,"2023-02-01",183,59,5
100423,1016,1124,1012,"2023-03-12",182,116,4
100424,1018,1305,1012,"2023-03-19",238,79,3
100425,1003,1080,1012,"2023-03-26",171,81,4
100426,1014,1168,1012,"2023-03-28",147,78,4
100427,1017,1148,1012,"2023-04-24",191,146,3
100428,1022,1306,1012,"2023-04-28",146,118,5
100429,1001,1124,1012,"2023-05-08",187,135,3
100430,1004,1438,1012,"2023-06-19",120,94,4
100431,1003,1449,1012,"2023-07-19",169,65,3
100432,1012,1307,1012,"2023-08-13",257,135,4
100433,1021,1133,1012,"2023-09-18",119,59,4
100434,1013,1237,1012,"2023-09-25",252,77,5
100435,1018,1453,1012,"2023-10-05",164,121,5
100436,1018,1245,1012,"2023-10-14",235,129,5
100437,1014,1262,1012,"2023-11-04",107,66,3
100438,1003,1284,1012,"2023-11-15",173,75,5
100439,1014,1309,1012,"2023-11-20",152,65,4
100440,1009,1218,1012,"2023-12-11",194,54,5
100441,1009,1412,1012,"2023-12-16",246,120,4
100442,1020,1359,1012,"2023-12-25",193,129,3
100443,1019,1440,1012,"2024-01-15",146,77,5
100444,1023,1467,1012,"2024-01-25",176,76,4
100445,1023,1265,1012,"2024-02-04",190,56,4
100446,1011,1142,1012,"2024-02-07",116,85,3
100447,1008,1385,1012,"2024-03-11",142,138,4
100448,1019,1456,1012,"2024-03-13",97,78,5
100449,1012,1200,1012,"2024-03-23",182,150,5
100450,1002,1370,1012,"2024-03-28",195,57,5
100451,1011,1170,1012,"2024-04-02",200,80,4
100452,1024,1417,1012,"2024-04-19",182,166,5
100453,1024,1385,1012,"2024-05-21",261,94,5
100454,1005,1373,1012,"2024-06-04",143,101,5
100455,1020,1227,1012,"2024-06-05",216,122,4
100456,1013,1463,1012,"2024-06-15",123,153,2
100457,1016,1381,1012,"2024-08-02",221,77,1
100458,1017,1247,1012,"2024-08-10",192,93,4
100459,1011,1309,1012,"2024-09-04",190,70,3
100460,1015,1048,1012,"2024-09-05",125,140,3
100461,1005,1111,1012,"2024-09-29",160,106,5
100462,1014,1081,1012,"2024-11-19",173,69,5
100463,1003,1243,1012,"2024-11-23",122,62,4
100464,1012,1237,1012,"2024-12-10",285,149,3
100465,1005,1349,1013,"2023-01-01",122,128,5
100466,1024,1201,1013,"2023-01-11",260,155,5
100467,1009,1371,1013,"2023-02-21",175,61,3
100468,1016,1113,1013,"2023-03-14",218,94,2
100469,1007,1139,1013,"2023-03-15",190,132,5
100470,1002,1007,1013,"2023-03-21",188,83,4
100471,1014,1225,1013,"2023-04-05",172,61,3
100472,1015,1234,1013,"2023-04-06",226,109,5
100473,1007,1068,1013,"2023-04-18",123,96,1
100474,1021,1468,1013,"2023-04-22",133,91,4
100475,1008,1054,1013,"2023-06-20",104,135,5
100476,1013,1024,1013,"2023-06-28",201,124,5
100477,1018,1278,1013,"2023-06-29",141,131,4
100478,1019,1172,1013,"2023-08-23",100,76,1
100479,1020,1234,1013,"2023-09-01",250,141,3
100480,1021,1061,1013,"2023-09-27",119,100,3
100481,1021,1016,1013,"2023-10-22",111,56,1
100482,1023,1424,1013,"2023-10-23",87,84,4
100483,1017,1118,1013,"2023-10-25",122,70,5
100484,1024,1480,1013,"2023-11-29",166,81,5
100485,1008,1136,1013,"2023-12-05",297,175,5
100486,1013,1037,1013,"2024-01-07",167,151,1
100487,1016,1373,1013,"2024-02-03",212,57,4
100488,1007,1215,1013,"2024-04-04",146,123,4
100489,1021,1334,1013,"2024-05-09",80,50,3
100490,1009,1096,1013,"2024-05-10",240,96,4
100491,1018,1059,1013,"2024-06-13",227,78,5
100492,1002,1316,1013,"2024-06-16",114,54,4
100493,1019,1028,1013,"2024-06-24",112,67,3
100494,1012,1234,1013,"2024-07-11",117,172,5
100495,1017,1218,1013,"2024-07-14",203,61,4
100496,1021,1193,1013,"2024-10-09",152,83,3
100497,1002,1338,1013,"2024-10-22",155,108,1
100498,1022,1311,1013,"2024-11-15",182,69,5
100499,1011,1329,1013,"2024-11-22",134,80,3
100500,1007,1218,1013,"2024-11-26",120,147,5
100501,1010,1377,1013,"2024-12-19",180,103,4
100502,1020,1212,1014,"2023-02-14",200,149,3
100503,1009,1371,1014,"2023-02-22",189,79,4
100504,1021,1094,1014,"2023-02-26",99,58,5
100505,1015,1097,1014,"2023-03-02",237,105,1
100506,1015,1409,1014,"2023-03-10",167,169,4
100507,1001,1257,1014,"2023-03-15",130,77,3
100508,1007,1095,1014,"2023-04-12",183,95,4
100509,1009,1244,1014,"2023-04-14",164,53,2
100510,1013,1360,1014,"2023-06-30",163,72,4
100511,1007,1011,1014,"2023-07-02",176,66,5
100512,1018,1452,1014,"2023-08-14",141,124,4
100513,1015,1055,1014,"2023-10-18",150,175,4
100514,1011,1284,1014,"2023-11-04",105,61,1
100515,1006,1421,1014,"2023-11-13",185,95,5
100516,1019,1081,1014,"2023-12-02",135,66,2
100517,1003,1067,1014,"2023-12-24",94,79,4
100518,1017,1356,1014,"2024-01-29",225,120,4
100519,1022,1119,1014,"2024-02-14",227,75,4
100520,1010,1381,1014,"2024-03-18",124,98,3
100521,1006,1467,1014,"2024-03-31",124,117,5
100522,1017,1032,1014,"2024-04-01",201,126,5
100523,1007,1277,1014,"2024-05-10",211,148,4
100524,1003,1045,1014,"2024-05-28",121,81,4
100525,1019,1132,1014,"2024-06-30",163,87,2
100526,1002,1154,1014,"2024-07-21",102,75,5
100527,1016,1032,1014,"2024-08-01",210,122,4
100528,1019,1456,1014,"2024-10-17",153,77,5
100529,1013,1024,1014,"2024-11-27",159,137,5
100530,1011,1365,1015,"2023-01-10",165,63,5
100531,1003,1080,1015,"2023-02-17",183,90,5
100532,1007,1127,1015,"2023-02-22",211,78,4
100533,1007,1378,1015,"2023-03-28",195,66,4
100534,1022,1306,1015,"2023-04-13",220,148,1
100535,1018,1244,1015,"2023-04-20",176,131,5
