id,cityid,observedat,tempdaymin,tempdaymax,tempdayavg,precipmm,pressure,windspeed,windgusts
10082,1001,"2023-03-23",11.1,14.6,12.6,5.5,1000.6,9.1,20.0
10083,1001,"2023-03-24",9.4,13.1,11.3,3.7,999.1,10.6,18.9
10084,1001,"2023-03-25",6.9,12.0,9.3,6.9,1001.7,10.3,23.1
10085,1001,"2023-03-26",4.5,9.2,7.0,0.0,1005.8,4.8,13.1
10086,1001,"2023-03-27",1.3,6.7,4.3,1.3,1021.0,5.1,13.9
10087,1001,"2023-03-28",-1.0,8.4,4.2,0.3,1023.6,4.6,11.1
10088,1001,"2023-03-29",5.4,13.4,9.7,0.0,1012.3,4.6,10.0
10089,1001,"2023-03-30",10.8,14.4,12.9,0.2,1004.5,9.5,18.9
10090,1001,"2023-03-31",10.0,11.9,10.6,12.0,993.7,6.8,15.0
10091,1001,"2023-04-01",7.4,11.8,9.6,4.0,997.5,5.3,11.9
10092,1001,"2023-04-02",2.9,9.7,6.3,0.0,1021.6,7.0,13.9
10093,1001,"2023-04-03",1.5,10.0,6.0,0.0,1031.5,4.9,11.1
10094,1001,"2023-04-04",0.8,9.2,5.5,0.0,1029.0,2.5,8.9
10095,1001,"2023-04-05",1.1,11.3,6.3,0.0,1022.7,1.9,8.1
10096,1001,"2023-04-06",2.4,9.2,6.8,5.8,1014.8,5.0,11.9
10097,1001,"2023-04-07",8.0,9.4,8.6,0.0,1017.4,4.2,8.9
10098,1001,"2023-04-08",3.1,12.5,8.6,0.0,1025.0,2.6,8.9
10099,1001,"2023-04-09",8.4,14.8,10.6,0.0,1024.3,3.2,8.1
10100,1001,"2023-04-10",8.2,14.0,10.6,6.3,1014.1,6.7,13.9
10101,1001,"2023-04-11",7.5,12.3,9.9,5.1,1010.0,8.3,21.9
10102,1001,"2023-04-12",8.0,11.9,9.6,6.4,998.1,7.3,15.0
10103,1001,"2023-04-13",5.4,11.7,8.4,4.0,999.2,8.2,18.1
10104,1001,"2023-04-14",3.5,14.2,8.9,0.3,1008.0,4.1,10.0
10105,1001,"2023-04-15",6.5,12.8,9.4,0.0,1014.7,5.8,13.1
10106,1001,"2023-04-16",7.6,10.3,8.7,0.2,1024.7,4.4,10.0
10107,1001,"2023-04-17",7.2,14.4,9.8,0.0,1027.6,4.3,10.0
10108,1001,"2023-04-18",6.8,13.9,9.8,0.0,1027.7,6.4,13.1
10109,1001,"2023-04-19",8.3,14.0,10.7,0.0,1026.8,7.6,16.1
10110,1001,"2023-04-20",6.4,11.8,8.8,1.0,1020.5,6.6,13.9
10111,1001,"2023-04-21",7.8,15.5,11.0,5.1,1013.1,4.1,10.0
10112,1001,"2023-04-22",4.9,14.0,9.0,3.9,1007.1,2.2,8.1
10113,1001,"2023-04-23",6.7,16.3,11.0,6.8,1003.4,4.4,11.9
10114,1001,"2023-04-24",6.9,10.6,8.9,15.1,1003.9,7.2,15.0
10115,1001,"2023-04-25",4.9,9.7,6.7,0.2,1015.0,4.9,15.0
10116,1001,"2023-04-26",1.6,10.0,6.2,0.0,1019.6,2.4,8.9
10117,1001,"2023-04-27",0.9,12.7,7.7,0.0,1019.9,2.7,8.1
10118,1001,"2023-04-28",7.8,12.7,10.2,0.8,1011.4,4.9,11.1
10119,1001,"2023-04-29",8.9,15.4,11.4,0.0,1019.4,3.9,10.0
10120,1001,"2023-04-30",5.7,17.3,11.5,0.0,1022.7,2.4,8.1
10121,1001,"2023-05-01",8.6,15.4,11.7,0.4,1016.7,3.1,8.9
10122,1001,"2023-05-02",6.8,12.0,9.6,0.0,1025.6,4.3,10.0
10123,1001,"2023-05-03",4.0,13.3,9.2,0.0,1028.4,3.9,10.0
10124,1001,"2023-05-04",6.5,21.6,13.8,0.0,1019.5,4.8,10.3
10125,1001,"2023-05-05",12.0,17.0,14.7,13.3,1015.6,3.4,8.9
10126,1001,"2023-05-06",9.3,19.9,14.8,3.4,1016.2,2.1,6.9
10127,1001,"2023-05-07",13.6,19.4,15.9,1.0,1017.3,2.3,6.9
10128,1001,"2023-05-08",10.8,18.8,14.6,0.0,1020.5,2.2,8.2
10129,1001,"2023-05-09",12.6,14.8,13.8,16.4,1012.2,4.1,8.9
10130,1001,"2023-05-10",10.4,14.5,12.7,0.0,1010.8,3.1,7.2
10131,1001,"2023-05-11",11.1,16.4,13.6,2.5,1015.3,2.3,8.9
10132,1001,"2023-05-12",11.2,20.6,15.5,3.2,1018.6,5.1,10.3
10133,1001,"2023-05-13",12.3,20.9,16.5,0.0,1021.9,4.9,10.3
10134,1001,"2023-05-14",9.1,19.4,13.8,0.0,1018.9,3.8,8.9
10135,1001,"2023-05-15",7.4,14.5,10.5,0.3,1016.1,4.3,13.1
10136,1001,"2023-05-16",5.7,14.0,10.2,0.0,1022.0,5.1,11.1
10137,1001,"2023-05-17",7.6,14.9,10.9,0.0,1027.5,3.8,10.0
10138,1001,"2023-05-18",6.1,14.4,10.1,0.0,1028.9,3.2,8.1
10139,1001,"2023-05-19",7.0,18.1,13.3,0.0,1026.6,4.3,10.0
10140,1001,"2023-05-20",11.3,19.2,15.3,0.0,1023.6,5.9,13.1
10141,1001,"2023-05-21",13.0,20.1,16.4,0.0,1018.5,4.4,10.0
10142,1001,"2023-05-22",12.0,22.7,16.7,0.0,1016.1,3.9,11.1
10143,1001,"2023-05-23",9.3,15.0,12.9,0.0,1023.0,6.4,11.9
10144,1001,"2023-05-24",6.5,15.9,12.0,0.0,1025.0,3.1,8.9
10145,1001,"2023-05-25",8.7,17.0,12.6,0.0,1028.5,3.9,10.3
10146,1001,"2023-05-26",9.3,16.9,12.7,0.0,1031.1,5.8,13.1
10147,1001,"2023-05-27",8.6,19.3,13.8,0.0,1027.0,4.4,8.9
10148,1001,"2023-05-28",11.5,19.9,15.5,0.0,1022.5,5.2,13.1
10149,1001,"2023-05-29",9.8,15.6,12.7,0.0,1026.5,6.2,11.9
10150,1001,"2023-05-30",10.4,14.4,12.5,0.0,1028.1,4.9,10.0
10151,1001,"2023-05-31",10.8,20.1,15.0,0.0,1026.2,5.2,11.1
10152,1001,"2023-06-01",10.9,15.4,12.5,0.0,1024.1,5.4,11.1
10153,1001,"2023-06-02",10.3,19.0,13.5,0.0,1022.7,4.4,10.0
10154,1001,"2023-06-03",10.4,20.4,16.2,0.0,1022.6,4.6,11.9
10155,1001,"2023-06-04",12.0,20.4,15.8,0.0,1023.3,5.1,10.3
10156,1001,"2023-06-05",10.9,18.6,14.3,0.0,1023.2,4.6,9.2
10157,1001,"2023-06-06",10.7,19.6,14.8,0.0,1022.0,4.9,9.8
10158,1001,"2023-06-07",11.0,20.6,15.2,0.0,1021.5,4.6,9.2
10159,1001,"2023-06-08",11.7,22.6,16.5,0.0,1018.4,5.6,11.1
10160,1001,"2023-06-09",13.7,27.9,20.3,0.0,1015.1,5.4,11.1
10161,1001,"2023-06-10",17.9,27.6,23.0,0.0,1015.6,5.2,11.1
10162,1001,"2023-06-11",17.4,29.8,24.3,0.0,1015.3,4.0,8.8
10163,1001,"2023-06-12",19.1,28.8,24.5,0.0,1015.5,4.6,10.0
10164,1001,"2023-06-13",16.9,26.5,22.6,0.0,1014.7,5.8,11.9
10165,1001,"2023-06-14",15.7,24.8,20.9,0.0,1017.2,5.1,11.1
10166,1001,"2023-06-15",16.0,26.0,21.1,0.0,1019.9,3.1,8.8
10167,1001,"2023-06-16",14.9,25.7,20.6,0.0,1019.2,2.8,11.1
10168,1001,"2023-06-17",12.7,26.5,20.0,0.0,1015.8,2.3,6.2
10169,1001,"2023-06-18",18.4,25.0,22.1,0.0,1012.0,3.6,8.1
10170,1001,"2023-06-19",17.0,23.2,20.7,1.6,1011.0,6.0,13.9
10171,1001,"2023-06-20",19.2,28.2,22.0,17.0,1010.7,3.6,15.0
10172,1001,"2023-06-21",17.5,22.6,20.0,0.0,1015.7,4.5,9.8
10173,1001,"2023-06-22",14.3,23.2,19.8,0.0,1018.0,3.6,10.0
10174,1001,"2023-06-23",15.1,23.4,19.9,0.0,1022.6,3.1,8.1
10175,1001,"2023-06-24",15.8,25.5,21.4,0.0,1023.5,2.8,8.1
10176,1001,"2023-06-25",18.1,30.4,24.7,0.0,1016.9,3.2,8.9
10177,1001,"2023-06-26",16.6,24.2,19.7,0.0,1016.5,6.1,11.9
10178,1001,"2023-06-27",15.4,20.1,17.8,0.9,1020.1,4.0,10.0
10179,1001,"2023-06-28",14.5,21.8,18.2,3.4,1017.7,3.5,8.9
10180,1001,"2023-06-29",13.8,21.7,18.6,0.2,1014.6,4.8,11.9
10181,1001,"2023-06-30",11.0,21.7,16.8,0.0,1013.0,4.9,12.4
10182,1001,"2023-07-01",15.9,18.8,17.5,5.0,1004.4,7.1,13.1
10183,1001,"2023-07-02",14.3,19.7,17.4,0.0,1009.0,7.4,13.9
10184,1001,"2023-07-03",14.8,19.4,17.1,5.1,1009.1,8.7,20.0
10185,1001,"2023-07-04",13.9,20.0,16.9,0.0,1010.6,5.8,15.0
10186,1001,"2023-07-05",11.7,16.9,14.5,28.9,1006.2,9.4,33.1
10187,1001,"2023-07-06",12.1,20.8,16.9,0.0,1016.5,4.6,13.1
10188,1001,"2023-07-07",12.3,27.1,20.3,0.0,1019.0,3.6,8.9
10189,1001,"2023-07-08",18.0,31.8,24.5,0.0,1016.6,3.2,8.1
10190,1001,"2023-07-09",18.2,27.9,22.1,9.2,1018.3,3.1,13.9
10191,1001,"2023-07-10",16.6,23.0,19.9,0.0,1020.5,3.7,10.0
10192,1001,"2023-07-11",15.9,25.3,21.1,0.7,1012.4,5.0,13.9
10193,1001,"2023-07-12",17.0,21.3,18.8,1.6,1010.4,7.1,13.1
10194,1001,"2023-07-13",15.6,20.6,18.3,5.1,1015.4,6.2,13.1
10195,1001,"2023-07-14",14.5,21.7,18.5,0.1,1013.1,4.2,8.8
10196,1001,"2023-07-15",17.8,25.6,20.9,1.8,1004.1,7.1,15.0
10197,1001,"2023-07-16",16.4,21.3,18.7,0.0,1010.2,9.6,18.1
10198,1001,"2023-07-17",15.2,20.1,17.7,2.1,1017.1,6.7,13.9
10199,1001,"2023-07-18",13.8,22.4,18.0,0.0,1018.6,3.2,8.1
10200,1001,"2023-07-19",15.1,21.0,17.7,0.3,1013.9,3.1,10.0
10201,1001,"2023-07-20",12.0,21.1,16.8,0.0,1014.9,2.4,8.1
10202,1001,"2023-07-21",13.4,19.3,16.5,0.0,1012.1,3.7,11.9
10203,1001,"2023-07-22",13.5,19.7,16.3,2.0,1012.1,6.1,13.9
10204,1001,"2023-07-23",15.1,22.2,17.8,2.3,1005.1,7.6,18.1
10205,1001,"2023-07-24",12.8,20.4,17.5,0.0,1003.3,5.3,11.1
10206,1001,"2023-07-25",10.6,18.0,15.1,0.1,1008.3,4.3,11.9
10207,1001,"2023-07-26",11.0,19.8,15.8,1.7,1011.6,4.2,11.9
10208,1001,"2023-07-27",14.2,19.1,17.2,15.9,1004.4,6.3,13.1
10209,1001,"2023-07-28",18.3,21.8,19.6,0.0,1005.8,5.3,10.0
10210,1001,"2023-07-29",16.5,21.8,18.8,1.5,1006.5,6.0,13.1
10211,1001,"2023-07-30",16.4,20.6,18.1,0.6,1009.3,7.6,16.9
10212,1001,"2023-07-31",15.7,19.9,17.9,21.8,1004.8,8.1,16.1
10213,1001,"2023-08-01",15.9,19.4,17.5,4.3,999.2,7.3,16.1
10214,1001,"2023-08-02",15.0,21.5,17.3,12.9,992.2,7.2,20.0
10215,1001,"2023-08-03",15.6,19.5,17.3,3.2,997.2,6.3,15.0
10216,1001,"2023-08-04",14.9,19.3,17.0,1.2,1013.5,4.1,10.0
10217,1001,"2023-08-05",13.3,18.8,15.6,2.2,1011.4,4.2,11.1
10218,1001,"2023-08-06",13.7,16.9,15.0,42.4,1007.5,6.0,16.1
10219,1001,"2023-08-07",13.8,18.3,16.0,2.4,1015.0,7.9,16.1
10220,1001,"2023-08-08",14.1,18.2,16.3,0.2,1013.0,6.9,15.0
10221,1001,"2023-08-09",11.0,19.7,15.8,0.0,1015.9,4.1,10.0
10222,1001,"2023-08-10",12.3,23.2,17.9,0.0,1020.9,2.4,6.9
10223,1001,"2023-08-11",15.6,26.1,20.3,0.0,1018.8,4.4,11.1
10224,1001,"2023-08-12",16.2,21.9,19.6,10.5,1015.4,5.4,13.9
10225,1001,"2023-08-13",16.9,22.1,19.0,0.1,1015.5,5.8,11.1
10226,1001,"2023-08-14",14.7,25.0,19.8,0.0,1013.7,3.6,10.0
10227,1001,"2023-08-15",15.3,22.1,19.1,0.0,1015.2,3.9,9.8
10228,1001,"2023-08-16",11.5,22.8,18.2,0.0,1021.0,3.2,11.1
10229,1001,"2023-08-17",16.5,20.7,18.7,0.0,1020.5,5.6,11.1
10230,1001,"2023-08-18",16.2,24.1,20.0,0.0,1016.3,3.6,8.1
10231,1001,"2023-08-19",18.9,24.4,22.3,0.0,1014.5,5.3,11.9
10232,1001,"2023-08-20",15.2,23.4,19.6,0.0,1022.0,3.3,8.1
10233,1001,"2023-08-21",14.7,23.7,19.2,0.0,1023.1,2.4,8.1
10234,1001,"2023-08-22",15.3,22.2,18.8,0.0,1020.5,3.6,8.8
10235,1001,"2023-08-23",14.3,23.9,18.9,0.0,1019.9,2.8,8.9
10236,1001,"2023-08-24",15.3,23.0,19.5,1.0,1014.0,3.0,8.9
10237,1001,"2023-08-25",15.8,22.0,19.5,0.5,1008.1,3.0,8.3
10238,1001,"2023-08-26",14.7,19.7,16.7,5.9,1009.2,4.5,11.9
10239,1001,"2023-08-27",12.4,17.5,15.3,6.0,1008.5,4.6,11.9
10240,1001,"2023-08-28",11.4,20.0,16.1,0.0,1012.2,2.9,8.6
10241,1001,"2023-08-29",11.7,19.3,15.6,0.3,1011.6,2.7,8.2
10242,1001,"2023-08-30",12.6,17.7,14.8,4.4,1006.1,4.5,11.9
10243,1001,"2023-08-31",12.8,18.2,15.3,6.3,1009.4,4.6,11.1
10244,1001,"2023-09-01",13.5,19.1,16.2,4.5,1012.5,2.2,5.7
10245,1001,"2023-09-02",15.9,21.2,18.0,0.2,1020.3,2.2,8.9
10246,1001,"2023-09-03",12.5,23.2,17.2,0.0,1027.5,1.2,5.1
10247,1001,"2023-09-04",11.5,24.6,18.2,0.0,1025.5,2.7,7.2
10248,1001,"2023-09-05",15.4,28.7,21.5,0.0,1019.2,2.9,6.7
10249,1001,"2023-09-06",16.8,29.3,22.8,0.0,1019.2,2.6,6.1
10250,1001,"2023-09-07",17.2,29.0,22.7,0.0,1018.7,3.1,10.0
10251,1001,"2023-09-08",17.3,29.1,22.8,0.0,1016.5,2.1,5.1
10252,1001,"2023-09-09",15.3,29.0,22.1,0.0,1016.6,1.3,4.6
10253,1001,"2023-09-10",19.4,30.5,24.3,0.0,1016.5,2.7,6.2
10254,1001,"2023-09-11",19.2,24.3,21.6,0.1,1013.0,3.8,8.8
10255,1001,"2023-09-12",16.8,22.8,19.9,1.8,1012.9,2.5,6.2
10256,1001,"2023-09-13",13.0,19.5,17.3,2.1,1017.7,4.0,13.1
10257,1001,"2023-09-14",10.2,21.0,15.6,0.0,1022.2,1.8,5.1
10258,1001,"2023-09-15",11.7,21.6,16.6,0.0,1017.9,2.6,6.9
10259,1001,"2023-09-16",13.9,24.1,18.9,0.0,1014.4,2.6,6.9
10260,1001,"2023-09-17",15.9,18.8,17.5,0.9,1012.7,3.7,10.0
10261,1001,"2023-09-18",15.8,22.1,19.2,17.8,1002.8,6.9,16.9
10262,1001,"2023-09-19",14.9,18.7,16.4,2.6,1006.6,9.4,20.0
10263,1001,"2023-09-20",16.9,20.9,18.4,0.0,1004.2,8.2,15.0
10264,1001,"2023-09-21",14.7,19.5,16.2,17.0,996.9,4.4,11.9
10265,1001,"2023-09-22",11.6,17.6,14.0,4.0,999.9,5.3,12.8
10266,1001,"2023-09-23",11.7,16.4,13.8,11.9,1012.4,4.3,11.1
10267,1001,"2023-09-24",9.7,19.7,14.5,0.0,1022.6,4.9,13.1
10268,1001,"2023-09-25",12.4,20.6,15.8,0.0,1021.0,4.4,9.7
10269,1001,"2023-09-26",13.3,22.0,16.8,0.0,1019.9,2.9,8.1
10270,1001,"2023-09-27",12.8,22.4,17.4,0.0,1017.4,3.2,8.1
10271,1001,"2023-09-28",16.0,20.1,17.9,0.0,1014.9,5.0,11.1
10272,1001,"2023-09-29",12.9,19.7,16.8,2.0,1016.3,5.0,11.9
10273,1001,"2023-09-30",10.7,19.3,15.0,0.2,1025.0,2.8,7.7
10274,1001,"2023-10-01",15.4,22.5,18.1,0.0,1021.8,4.7,10.0
10275,1001,"2023-10-02",14.8,22.6,18.5,0.0,1017.8,3.1,8.1
10276,1001,"2023-10-03",14.4,20.0,16.8,2.1,1013.6,7.0,18.1
10277,1001,"2023-10-04",13.8,17.4,15.4,0.0,1024.2,6.2,13.4
10278,1001,"2023-10-05",14.8,18.3,16.3,0.0,1023.2,6.0,15.0
10279,1001,"2023-10-06",14.0,20.2,16.5,0.0,1021.9,7.6,15.0
10280,1001,"2023-10-07",16.5,19.4,18.3,0.0,1020.4,7.5,13.9
10281,1001,"2023-10-08",12.4,18.9,15.8,0.0,1023.9,3.6,10.0
10282,1001,"2023-10-09",13.9,19.7,17.4,0.0,1019.8,4.1,9.8
10283,1001,"2023-10-10",14.0,22.1,17.2,0.0,1017.2,4.2,9.8
10284,1001,"2023-10-11",16.0,19.9,18.0,0.3,1011.8,6.8,15.0
10285,1001,"2023-10-12",13.0,17.4,15.0,18.2,1012.0,2.9,10.0
10286,1001,"2023-10-13",16.5,20.9,18.2,11.3,1003.4,8.3,18.9
10287,1001,"2023-10-14",8.0,14.3,12.1,5.3,1010.4,6.6,14.4
10288,1001,"2023-10-15",7.0,11.3,8.8,10.3,1020.6,3.5,16.1
10289,1001,"2023-10-16",6.5,12.8,9.4,0.6,1022.7,2.2,5.0
10290,1001,"2023-10-17",6.3,12.4,9.0,0.0,1019.4,4.4,10.0
10291,1001,"2023-10-18",6.6,12.6,9.3,2.0,1005.7,6.6,12.4
10292,1001,"2023-10-19",9.6,18.1,14.4,11.8,990.3,5.0,11.9
10293,1001,"2023-10-20",9.0,14.8,11.4,17.7,980.9,7.0,15.0
10294,1001,"2023-10-21",11.9,15.0,13.0,9.0,988.5,6.6,16.1
10295,1001,"2023-10-22",7.7,14.6,12.1,5.5,1003.1,5.8,13.9
10296,1001,"2023-10-23",4.8,12.4,9.4,1.5,1011.0,3.2,10.3
10297,1001,"2023-10-24",10.6,12.3,11.7,10.3,1000.6,5.8,11.1
10298,1001,"2023-10-25",7.6,10.7,9.8,6.1,996.8,4.1,8.1
10299,1001,"2023-10-26",6.0,11.3,9.2,0.0,995.4,2.8,6.9
10300,1001,"2023-10-27",9.2,11.8,10.6,10.2,991.8,3.1,6.9
10301,1001,"2023-10-28",8.8,13.6,11.1,1.4,993.7,5.3,11.1
10302,1001,"2023-10-29",10.9,14.6,12.5,13.2,990.5,8.7,18.1
10303,1001,"2023-10-30",9.0,13.2,10.8,7.9,997.2,4.3,11.1
10304,1001,"2023-10-31",9.6,13.9,11.0,15.6,1000.4,3.8,8.9
10305,1001,"2023-11-01",9.9,14.5,12.1,6.2,997.0,6.7,13.9
10306,1001,"2023-11-02",8.4,12.2,10.6,11.0,974.8,11.7,25.0
10307,1001,"2023-11-03",7.9,11.8,9.9,18.9,980.2,9.2,18.5
10308,1001,"2023-11-04",8.0,10.2,9.3,4.7,976.8,6.9,11.9
10309,1001,"2023-11-05",8.7,11.9,10.5,9.7,976.5,6.8,18.1
10310,1001,"2023-11-06",9.0,11.6,10.0,2.1,997.3,7.7,16.1
10311,1001,"2023-11-07",7.3,11.9,9.6,7.6,1006.6,6.7,11.9
10312,1001,"2023-11-08",8.4,10.7,9.5,10.4,1007.2,7.4,15.0
10313,1001,"2023-11-09",7.3,10.8,9.3,11.8,998.3,5.6,11.9
10314,1001,"2023-11-10",5.1,8.5,7.3,12.7,994.6,5.9,11.9
10315,1001,"2023-11-11",5.1,10.4,7.7,2.6,1003.0,3.9,13.9
10316,1001,"2023-11-12",2.7,9.6,5.9,0.4,1006.1,2.7,6.9
10317,1001,"2023-11-13",5.0,15.3,9.9,5.8,1000.0,8.0,21.9
10318,1001,"2023-11-14",10.2,13.9,12.4,10.5,1000.8,8.7,21.1
10319,1001,"2023-11-15",10.2,12.5,11.2,4.7,1011.5,7.6,15.0
10320,1001,"2023-11-16",4.9,10.1,7.6,0.1,1013.6,2.6,11.9
10321,1001,"2023-11-17",2.7,9.3,5.5,0.0,1019.2,2.0,5.0
10322,1001,"2023-11-18",4.5,13.9,7.9,9.1,1015.8,5.8,15.0
10323,1001,"2023-11-19",12.0,14.2,13.1,2.1,1006.0,9.9,16.9
